Id,Petro,dalma,Heber,Platy,Ponde,Plect,Rafin,strop,Zygos,bifol,Const,Cuffe,encru,Escha,fenes,massi,Parvo,ramos,thinr,Ambon,bival,Carit,modio,belle,Cyclo,gastr,Lopho,nauti,Cornu,calym,Cerau,Isote,odont,Cinci,crino,Ecten,Glycr,Ptych
2S039,0,0,2,0,0,0,0,42,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2S040,0,0,3,0,0,0,0,10,3,0,0,0,1,0,6,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2S041,0,0,0,9,0,0,1,0,10,2,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2S042,1,0,4,0,12,0,70,0,1,0,0,0,0,0,0,0,9,34,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2S043,0,4,0,1,1,0,59,0,19,0,0,0,2,0,0,0,5,6,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2S044,0,0,0,2,0,0,3,0,11,0,0,0,0,0,0,0,1,32,0,1,0,0,5,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
2S045,0,0,0,0,3,0,10,0,6,4,0,0,0,0,0,0,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2S046,0,0,0,1,0,0,11,0,21,0,0,0,2,0,0,0,0,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2S047,0,0,0,0,2,0,8,0,25,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2S048,0,0,0,0,0,0,12,0,16,0,0,0,0,0,0,0,6,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2S049,0,0,0,4,0,0,9,0,5,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
